"","region","subregion","number"
"1","Africa","Eastern Africa",34
"2","Africa","Middle Africa",9
"3","Africa","Northern Africa",4
"4","Africa","Southern Africa",6
"5","Africa","Western Africa",31
"6","Americas","Latin America and the Caribbean",24
"7","Asia","Central Asia",2
"8","Asia","South-eastern Asia",12
"9","Asia","Southern Asia",11
"10","Asia","Western Asia",9
"11","Europe","Eastern Europe",2
"12","Europe","Southern Europe",1
