"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"123","Sierra Leone","2013",6,"Africa","Sub-Saharan Africa","Western Africa","SLE",16658,1822,344.021612,284.79232,127.374829,2.658745,18.513083,464.046668,361.654561,179.019199,5.808372,25.323967
"124","Sierra Leone","2008",5,"Africa","Sub-Saharan Africa","Western Africa","SLE",7374,501,71.911355,119.608054,33.86651,0.231159,27.970285,73.467008,65.671647,29.42217,0.935537,31.570289
"125","Swaziland","2006",5,"Africa","Sub-Saharan Africa","Southern Africa","SWZ",4987,904,50.271788,204.018125,22.772577,0,NA,101.07382,443.935757,69.4751,3.613113,NA
"126","Tajikistan","2012",6,"Asia","Central Asia","","TJK",9656,1782,184.344189,252.760399,40.646191,2.659851,NA,435.11994,648.693329,191.777451,8.620627,NA
"127","United Republic of Tanzania","2015",7,"Africa","Sub-Saharan Africa","Eastern Africa","TZA",13266,2896,162.460947,968.764964,33.740596,2.957158,NA,357.743647,1542.830067,78.321612,1.857233,NA
"128","United Republic of Tanzania","2010",6,"Africa","Sub-Saharan Africa","Eastern Africa","TZA",10139,1966,94.790119,505.368746,100.164372,1.300981,26.347989,274.25516,1029.534583,136.296867,6.506366,27.88768
"129","United Republic of Tanzania","2004",4,"Africa","Sub-Saharan Africa","Eastern Africa","TZA",10329,1647,59.637184,507.477806,111.8115,5.691371,4.494946,132.853311,804.209489,193.898135,0.82542,11.380194
"130","Timor-Leste","2009",6,"Asia","South-eastern Asia","","TLS",13137,1757,91.634292,483.221943,38.312634,NA,2.01523,121.954897,976.840972,51.252636,NA,0
"131","Togo","2013",6,"Africa","Sub-Saharan Africa","Western Africa","TGO",9480,1241,153.037648,281.666054,92.275919,1.973298,NA,184.284963,418.480418,96.890572,2.038871,NA
"132","Turkey","2003",4,"Asia","Western Asia","","TUR",8075,2711,540.199735,1274.051466,264.383111,NA,NA,149.382723,468.415517,104.433871,NA,NA
"133","Uganda","2011",6,"Africa","Sub-Saharan Africa","Eastern Africa","UGA",8674,1549,135.58014,243.363558,29.459656,0,0.235482,418.777559,655.305738,140.210707,2.714632,0.630608
"134","Uganda","2006",5,"Africa","Sub-Saharan Africa","Eastern Africa","UGA",8531,1204,92.807051,180.221509,23.089109,0,4.188598,309.918788,534.999202,94.150651,6.728537,17.315415
"135","Uganda","2000",4,"Africa","Sub-Saharan Africa","Eastern Africa","UGA",7246,1214,101.764189,162.503261,28.746378,1.313761,NA,322.246882,335.365905,100.383669,56.540395,NA
"136","Ukraine","2007",5,"Europe","Eastern Europe","","UKR",6841,2779,457.930522,1395.926657,74.956202,7.891848,22.386239,164.313652,551.447,53.764177,2.332514,12.514822
"137","Yemen","2013",6,"Asia","Western Asia","","YEM",25434,5024,341.230499,1840.578665,117.599017,9.54964,NA,482.605363,2057.143103,195.031784,26.61849,NA
"138","Zambia","2013",6,"Africa","Sub-Saharan Africa","Eastern Africa","ZMB",16411,4594,463.603846,1398.943212,332.554967,16.74641,NA,422.32387,1687.356195,437.289197,15.117269,NA
"139","Zambia","2007",5,"Africa","Sub-Saharan Africa","Eastern Africa","ZMB",7146,1750,128.15778,470.183597,127.98833,7.359753,11.139994,126.803185,680.788074,104.445691,116.265639,21.416898
"140","Zambia","2001",4,"Africa","Sub-Saharan Africa","Eastern Africa","ZMB",7658,1523,113.505358,532.831583,108.095882,5.433786,NA,147.266441,575.870156,111.088119,4.732673,NA
"141","Zimbabwe","2015",7,"Africa","Sub-Saharan Africa","Eastern Africa","ZWE",9955,4050,311.794738,1101.818902,77.988929,9.078177,NA,386.265949,2027.282779,182.589629,9.883016,NA
"142","Zimbabwe","2010",6,"Africa","Sub-Saharan Africa","Eastern Africa","ZWE",9171,3269,272.538094,758.659408,158.534468,2.121944,0,337.728722,1584.142803,215.070691,8.782379,0.442117
"143","Zimbabwe","2005",5,"Africa","Sub-Saharan Africa","Eastern Africa","ZWE",8907,2955,178.758521,896.078189,94.374434,5.933255,NA,164.296088,1494.459585,151.327095,2.079593,NA
"144","Zimbabwe","1999",4,"Africa","Sub-Saharan Africa","Eastern Africa","ZWE",5907,1846,139.085473,596.320564,72.81204,2.611652,12.600127,163.445647,765.54312,158.744502,4.961993,16.011882
